Date,Open,High,Low,Volume,Close
7/18/00,377500,381000,372000,392100,373000
7/19/00,377500,381000,372000,392100,373000
7/20/00,353000,355500,342000,806300,345000
7/21/00,348000,352500,338000,967900,346000
7/24/00,332000,337000,318000,980300,319000
7/25/00,315500,320000,306000,1134700,314000
7/26/00,320000,329000,318000,1094900,327500
7/27/00,311000,318000,305000,870800,311500
7/28/00,290000,295500,285500,1660700,286500
7/31/00,286500,295500,277500,932300,295000
8/1/00,298000,313500,293500,1062400,311000
8/2/00,305000,308500,296500,743800,303500
8/3/00,309000,309000,298500,556300,301500
8/4/00,296500,300500,292500,472100,296000
8/7/00,287000,288500,279000,575300,279000
8/8/00,283000,287500,278500,669500,279000
8/9/00,284000,302000,284000,791400,300000
8/10/00,300000,308000,293000,816600,308000
8/11/00,300000,303500,294000,676800,298000
8/14/00,303000,308000,300000,474600,301000
8/15/00,301000,301000,301000,0,301000
8/16/00,325000,326500,316500,1038300,321000
8/17/00,324000,328000,317000,726900,322000
8/18/00,325000,326000,310000,427400,310000
8/21/00,310000,317000,309500,419000,313500
8/22/00,313000,323500,312000,554200,323000
8/23/00,322500,322500,308000,558100,309500
8/24/00,313000,315000,305000,634000,311000
8/25/00,309000,320000,305500,439200,320000
8/28/00,317000,319000,313000,352600,316500
8/29/00,316000,319000,308000,335300,311000
8/30/00,307000,309500,301000,474700,301500
8/31/00,295000,295000,269000,2282400,273500
9/1/00,277000,280000,271000,999100,277000
9/4/00,272000,277500,265500,572500,267000
9/5/00,263000,267000,251500,1595300,257500
9/6/00,260000,264000,254500,1062400,257500
9/7/00,247000,249000,238000,1678100,239500
9/8/00,245000,246500,239500,1143400,244000
9/11/00,244000,244000,244000,0,244000
9/12/00,244000,244000,244000,0,244000
9/13/00,244000,244000,244000,0,244000
9/14/00,230000,235500,222000,2122600,235500
9/15/00,225000,231000,215000,1653900,217500
9/18/00,200500,206000,185000,2926100,198500
9/19/00,199500,218500,195000,2010500,208000
9/20/00,230000,233000,223000,2068200,230000
9/21/00,229500,233000,216000,1308900,220000
9/22/00,192000,202500,189000,2065300,190000
9/25/00,194000,205500,192000,1319700,204500
9/26/00,195000,202000,195000,1168600,200000
9/27/00,200000,205000,198000,1395900,201500
9/28/00,205000,209500,201500,1049400,203000
9/29/00,206000,206000,197000,1150700,202000
10/2/00,192000,194000,188000,822400,190500
10/3/00,190500,190500,190500,0,190500
10/4/00,185000,197500,179500,1652700,194500
10/5/00,201000,204000,197000,1254900,197000
10/6/00,190000,195000,188000,1098700,195000
10/9/00,191000,192000,184000,1263900,184500
10/10/00,185000,190500,179500,1242900,183000
10/11/00,172500,173000,160500,2072100,161000
10/12/00,157000,164000,157000,1590700,157000
10/13/00,150000,154500,141500,2305900,151500
10/16/00,151500,151500,151500,0,151500
10/17/00,149000,154000,136500,1306000,137000
10/18/00,127000,138000,121000,3284300,136500
10/19/00,136500,152500,134500,2754400,145000
10/20/00,162000,166500,159500,2376500,166500
10/23/00,174500,176000,158000,2799200,160000
10/24/00,159000,171000,155000,1942300,167000
10/25/00,160000,163000,156500,1374600,160500
10/26/00,146500,151500,137000,2665800,144500
10/27/00,144500,144500,144500,0,144500
10/30/00,140000,144000,136000,736600,137500
10/31/00,137500,142500,131500,1263800,142500
11/1/00,150000,163500,148000,1883300,163000
11/2/00,160000,171500,158500,2463600,166000
11/3/00,171000,173500,168500,1608400,172000
11/6/00,173000,183500,169000,1437300,175500
11/7/00,173000,177500,169000,1074800,172000
11/8/00,170000,173000,164000,1164300,170500
11/9/00,165000,171500,163000,1046100,170000
11/10/00,168000,172000,166000,702800,169000
11/13/00,161000,163000,155000,1021400,157500
11/14/00,160500,166000,160500,635100,164500
11/15/00,172500,173000,166000,1114400,169500
11/16/00,170000,171000,162500,748400,164000
11/17/00,159000,161500,157500,724500,161000
11/20/00,158000,160500,155000,535900,155000
11/21/00,154000,158500,148500,1032400,158000
11/22/00,155000,161000,154000,754200,157000
11/23/00,157000,163000,157000,892900,160500
11/24/00,165500,170000,163500,910600,170000
11/27/00,180000,190000,178500,2004400,189000
11/28/00,182500,182500,175000,1195400,176000
11/29/00,165000,167500,160000,1086000,161000
11/30/00,161000,164500,157500,1266300,162000
12/1/00,154000,161000,152000,1928500,159000
12/4/00,161000,162500,154000,1037500,155000
12/5/00,158000,162500,156000,1168000,162000
12/6/00,170500,171500,160500,1917800,160500
12/7/00,160500,163000,158000,860400,163000
12/8/00,163000,169500,163000,951500,168500
12/11/00,174000,181500,174000,1411500,179000
12/12/00,179000,182500,175000,1474900,175000
12/13/00,175000,189000,175000,1682800,189000
12/14/00,181000,184000,178000,1339300,181000
12/15/00,181000,182000,174000,1059200,174500
12/18/00,175000,179500,174500,687000,178000
12/19/00,178000,178500,175500,508900,176500
12/20/00,171000,172500,166000,1073500,167000
12/21/00,156000,165000,153500,1532500,162000
12/22/00,162000,165000,156500,1275200,157000
12/25/00,null,null,null,null,null
12/26/00,161500,162000,158000,1208600,158000
12/27/00,158000,158000,158000,0,158000
12/28/00,158000,158000,158000,0,158000
12/29/00,158000,158000,158000,0,158000
1/1/01,158000,158000,158000,0,158000
1/2/01,158000,169000,157000,789100,167500
1/3/01,161500,171000,161000,757100,168500
1/4/01,189500,193500,183000,2398200,189000
1/5/01,188000,196000,185000,1562700,195000
1/8/01,191000,195500,189000,845900,194000
1/9/01,191500,193000,185500,925600,192000
1/10/01,189000,190500,185000,824700,185500
1/11/01,189500,189500,182000,628200,182000
1/12/01,190000,194500,188500,1058000,192000
1/15/01,193000,201000,192000,1029200,196000
1/16/01,198000,210000,192500,1041300,207000
1/17/01,203000,212000,203000,1051400,211000
1/18/01,212000,226500,212000,1153700,220000
1/19/01,235000,235000,226000,1084900,230000
1/22/01,230000,230000,223500,845000,227500
1/23/01,null,null,null,null,null
1/24/01,null,null,null,null,null
1/25/01,null,null,null,null,null
1/26/01,222500,224000,198500,1820500,199000
1/29/01,200000,205000,198000,944900,201000
1/30/01,205000,208500,203500,787000,205500
1/31/01,204500,220000,204500,1060900,220000
2/1/01,213500,221000,209500,794600,213500
2/2/01,214500,219500,211000,546600,214500
2/5/01,208500,210000,199500,942700,201500
2/6/01,199000,201000,195500,630900,200500
2/7/01,198000,199500,195000,462600,195000
2/8/01,196000,203000,194500,693700,203000
2/9/01,202000,205000,199000,504600,203500
2/12/01,192000,202500,192000,722200,198500
2/13/01,202000,205000,198500,445900,199000
2/14/01,196000,202000,195000,394200,199000
2/15/01,210000,210500,205000,698600,206500
2/16/01,207500,215500,206500,927500,212500
2/19/01,209000,210500,205000,457600,209500
2/20/01,209500,214000,209000,363500,212000
2/21/01,208000,210000,207000,390000,208000
2/22/01,204000,205000,197000,872100,200500
2/23/01,196000,198500,191500,1537100,192000
2/26/01,192500,193000,189000,713300,192000
2/27/01,192000,197000,189500,773900,189500
2/28/01,185000,189000,185000,574300,187000
3/1/01,187000,187000,187000,0,187000
3/2/01,185000,185000,179000,890000,180500
3/5/01,176500,186000,176500,492400,186000
3/6/01,191000,192500,188000,510000,190000
3/7/01,198000,200500,195000,1052800,200000
3/8/01,197500,200500,195500,627200,200500
3/9/01,197000,197000,191000,616000,192000
3/12/01,185000,188000,182500,772200,183500
3/13/01,178500,182500,177000,676300,182000
3/14/01,null,null,null,null,null
3/15/01,189500,196500,188000,587400,196000
3/16/01,194000,196000,191500,466300,194500
3/19/01,190500,194000,188500,497300,190000
3/20/01,195000,196000,191000,429100,191000
3/21/01,186000,195000,185000,811000,193500
3/22/01,199000,199500,196000,749300,199000
3/23/01,204500,218500,204000,1835100,215000
3/26/01,220000,221500,217000,857400,217000
3/27/01,215000,215500,206000,626900,207500
3/28/01,213000,213000,207500,521500,207500
3/29/01,204500,209000,202000,598400,204500
3/30/01,205500,208500,202000,602000,208000
4/2/01,202000,205000,198000,782800,199500
4/3/01,190500,193500,189500,921400,190000
4/4/01,185000,187000,181500,1245600,183000
4/5/01,183000,183000,183000,0,183000
4/6/01,198000,198000,189000,1705800,192000
4/9/01,189500,190500,185500,516800,185500
4/10/01,185500,187000,180500,783500,182000
4/11/01,189000,190000,186000,890300,186000
4/12/01,197000,204500,195000,1473200,200500
4/13/01,205000,207500,201500,776800,203000
4/16/01,203000,204000,197000,204000,197000
4/17/01,196000,201000,192500,336300,198500
4/18/01,205500,214000,203500,955800,214000
4/19/01,231000,246000,229000,2626100,235000
4/20/01,236000,239000,224500,898100,224500
4/23/01,224500,230500,223500,635700,227000
4/24/01,220500,221000,216500,623700,220000
4/25/01,217000,226000,216000,526900,226000
4/26/01,217000,226000,216000,526900,226000
4/27/01,220500,222500,215500,433900,217000
4/30/01,223000,231000,220500,764500,229000
5/1/01,229000,229000,229000,0,229000
5/2/01,235000,235000,227000,730200,229000
5/3/01,231000,231000,224500,517900,230000
5/4/01,220500,225500,220500,656100,223000
5/7/01,225000,231500,224000,358900,230000
5/8/01,229500,231000,226000,336500,229500
5/9/01,228000,229000,224500,413900,225000
5/10/01,225000,228000,222000,492400,225000
5/11/01,223000,223500,220000,554100,220500
5/14/01,221000,223000,220000,286200,221500
5/15/01,220500,222500,214500,528400,217000
5/16/01,215000,218500,210000,517900,210500
5/17/01,220000,221500,217000,482100,221500
5/18/01,219000,221000,217000,378300,220500
5/21/01,225000,231000,221500,563200,229000
5/22/01,236000,239000,231000,976600,231000
5/23/01,230000,238000,229000,437800,235000
5/24/01,228000,230000,225500,605500,226500
5/25/01,227500,232500,221500,673900,222000
5/28/01,221000,224000,219000,369600,222500
5/29/01,221500,232000,221500,485600,232000
5/30/01,225000,226500,222500,636300,223500
5/31/01,216000,217000,209500,1271900,212000
6/1/01,215000,215000,210500,586300,212000
6/4/01,213000,215500,211500,399100,212000
6/5/01,207000,212000,202000,1030400,203000
6/6/01,203000,203000,203000,0,203000
6/7/01,204000,215500,204000,797300,214000
6/8/01,221000,225500,220000,854800,223500
6/11/01,216500,219000,214000,493600,214000
6/12/01,211000,215000,210500,483900,211000
6/13/01,215000,215500,210000,472900,214000
6/14/01,213500,215500,210000,556800,211500
6/15/01,209500,210000,206000,817400,209500
6/18/01,209000,209000,204000,681900,205000
6/19/01,205000,208500,204000,625500,205500
6/20/01,203000,203500,199500,770300,200000
6/21/01,200000,202000,196000,816100,198000
6/22/01,197000,197000,191000,893700,193500
6/25/01,192000,196500,190000,518500,193500
6/26/01,193500,195000,189000,670000,189000
6/27/01,189500,190000,185000,819700,186000
6/28/01,185000,189500,184500,540800,187500
6/29/01,192000,192500,190000,613500,192000
7/2/01,192000,194000,190500,465600,193000
7/3/01,195000,195500,193500,406100,194500
7/4/01,192000,197000,192000,274100,197000
7/5/01,197000,197500,193000,311000,193000
7/6/01,187000,188500,182500,760400,183500
7/9/01,175000,177000,169500,1632700,171000
7/10/01,172000,174500,169500,653300,170000
7/11/01,164000,170500,164000,759400,169000
7/12/01,174000,178000,173000,1327300,176000
7/13/01,182000,182000,168000,931200,170000
7/16/01,168500,169500,163000,558200,167000
7/17/01,167000,167000,167000,0,167000
7/18/01,168000,171000,166500,668600,167500
7/19/01,166500,177000,165500,746500,177000
7/20/01,176000,180000,173500,592500,176000
7/23/01,175000,175000,171500,425500,173000
7/24/01,170000,175500,170000,429600,173500
7/25/01,173000,179500,172000,418100,178500
7/26/01,179500,182500,179500,437300,181500
7/27/01,186500,189500,184500,576000,185500
7/30/01,188000,189000,184500,401100,185500
7/31/01,187000,190500,186000,444600,189500
8/1/01,191500,199500,190500,1157500,198000
8/2/01,201000,202000,194000,635800,195500
8/3/01,200000,201000,197500,655900,199500
8/6/01,196500,200000,195000,322600,199000
8/7/01,194000,195000,190500,441700,193000
8/8/01,191000,192000,187000,268100,190000
8/9/01,184500,186500,183000,583400,183000
8/10/01,185500,189000,185500,231600,186500
8/13/01,188500,191500,187500,372800,191500
8/14/01,195000,198000,193500,424400,197500
8/15/01,197500,197500,197500,0,197500
8/16/01,192000,195000,191000,366600,195000
8/17/01,195000,198000,193500,354900,196000
8/20/01,190000,191500,189000,188700,190000
8/21/01,191000,192500,185000,434700,186000
8/22/01,181500,192500,181500,435400,192500
8/23/01,193500,195500,190000,298900,192500
8/24/01,192000,194000,189000,150300,192000
8/27/01,198000,201000,196000,759100,199000
8/28/01,200000,200000,196500,410700,197000
8/29/01,195000,198500,193000,382700,196500
8/30/01,192000,197000,192000,251700,196000
8/31/01,193000,194000,187500,516900,190000
9/3/01,190500,191000,187500,209000,188000
9/4/01,188000,197000,187500,375500,196500
9/5/01,192000,192500,187500,420400,189500
9/6/01,190000,192500,188000,349800,188500
9/7/01,188000,191000,184500,456700,191000
9/10/01,188500,191500,186500,280000,191500
9/11/01,190000,192500,186000,316200,187000
9/12/01,160000,173000,160000,1699400,161500
9/13/01,168000,173000,166000,1194900,171500
9/14/01,172000,172500,164500,663500,169500
9/17/01,165000,168000,162000,569000,164000
9/18/01,169500,170000,165000,497400,167500
9/19/01,165000,167000,163000,431100,164000
9/20/01,160000,160000,151500,1227600,154000
9/21/01,145000,147000,139500,1308300,142500
9/24/01,142500,142500,142500,0,142500
9/25/01,153000,153500,143000,841300,143000
9/26/01,141000,143500,139500,665500,141500
9/27/01,138000,140500,134000,730000,140500
9/28/01,140500,140500,140500,0,140500
10/1/01,140500,140500,140500,0,140500
10/2/01,140500,140500,140500,0,140500
10/3/01,140500,140500,140500,0,140500
10/4/01,150000,150000,143000,1298500,145500
10/5/01,146000,148500,143500,800700,147500
10/8/01,147000,148000,144500,398700,146000
